Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0436917991337278,-0.0494371510102776,0.186840898804923,0,0,0,0.333640420727985,0.00284098696964174,-0.000857797912935067,0.000148643169289184,0.00156472625044952,0.000402422787871805,0.00254922424007404,0,0,0,0,0,0,package://model/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
link1,-0.00383635172778814,-0.0123314490087622,0.013483516610567,0,0,0,0.333640420727985,0.00284098696964174,-0.000857797912935067,0.000148643169289184,0.00156472625044952,0.000402422787871805,0.00254922424007404,0,0,0,0,0,0,package://model/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model/meshes/link1.STL,,link1-3,Origin_joint1,Axis_joint1,joint1,continuous,0.047528150861516,-0.173357382194356,-0.0371057020015154,1.5707963267949,0,0,base_link,0.425824973104813,0.893245610181825,-0.144171329227358,,,,,,,,,,,,0
link2,0.00643206518602143,0.0105341122531142,4.46322895665818E-05,0,0,0,0.333640420727985,0.00283279619037031,-0.000871292752237532,0.000125045341125639,0.00154321095662978,0.000354359324445806,0.00257893031316523,0,0,0,0,0,0,package://model/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model/meshes/link2.STL,,link2-3,Origin_joint2,Axis_joint2,joint2,continuous,-0.0102426457839843,-0.022873328938352,0.0138947824313733,-0.0333432597533398,0.0162843525697357,0.00189128807542449,link1,0.897466782310077,-0.437227917051183,-0.0581818116002004,,,,,,,,,,,,0
link3,-0.00787824504592116,-0.0306858434226898,0.0890670800425525,0,0,0,0.333640420727985,0.00298766046939977,-0.000586483262591321,0.000309470114077487,0.0020634040707584,0.000764813525225485,0.00190387292000715,0,0,0,0,0,0,package://model/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model/meshes/link3.STL,,link3-3,Origin_joint3,Axis_joint3,joint3,continuous,0.033199367489059,0.0764270636446334,-0.0622310689365501,0.472349777750858,-0.209962117770755,-0.0813208886948899,link2,0.897466782310077,-0.437227917051181,-0.0581818116002047,,,,,,,,,,,,0
link4,-0.00687253616227962,-0.0773238389563444,-0.117666964320499,0,0,0,0.333640420727985,0.00326848695163229,-5.61318752492955E-05,3.64749887322057E-05,0.00250786325845591,-0.000493668068103668,0.00117858725007713,0,0,0,0,0,0,package://model/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model/meshes/link4.STL,,link4-3,Origin_joint4,Axis_joint4,joint4,continuous,0.0433085747363087,0.0834146053555329,0.0240077272495854,2.64588600634877,-0.143278031772062,2.5889416006,link3,0.0581818115976145,0.248102155270561,-0.966985107097996,,,,,,,,,,,,0
